temperature,humidity,wind_speed,pressure,uv_index,rain_prob,season,time_of_day,feel_category
27.8,73.8,110.2,1000.2,1.9,33.1,Summer,Night,Comfortable
16.4,66.2,119.9,862.1,7.8,16.3,Spring,Morning,Cool
16.2,45.9,13.1,1012.6,6.4,37.0,Spring,Morning,Cool
30.6,95.7,38.1,1067.2,3.6,57.8,Rainy,Afternoon,Warm
33.1,50.2,47.5,1023.9,8.9,17.9,Summer,Morning,Warm
34.3,42.5,8.8,1000.9,1.3,24.8,Summer,Night,Warm
38.6,48.1,101.7,1078.6,1.6,4.4,Summer,Evening,Hot
21.8,43.5,57.2,948.6,4.8,29.9,Spring,Afternoon,Pleasant
17.3,75.2,51.7,1074.2,0.1,38.2,Autumn,Evening,Cool
15.3,40.8,57.5,898.6,0.3,24.7,Autumn,Evening,Cool
23.7,81.1,63.9,995.2,0.2,83.1,Spring,Night,Pleasant
14.2,75.3,62.7,880.8,7.0,32.0,Winter,Morning,Cold
29.6,80.5,50.9,871.8,13.2,62.4,Summer,Afternoon,Comfortable
16.5,30.1,76.6,978.8,5.2,31.7,Spring,Afternoon,Cool
-5.6,76.2,108.0,938.4,0.5,31.2,Winter,Night,Freezing
8.8,53.3,80.1,873.9,1.2,18.1,Winter,Night,Cold
-14.1,70.5,103.5,904.2,1.7,0.9,Winter,Morning,Very Freezing
20.9,87.3,30.8,1008.0,0.1,48.5,Rainy,Night,Pleasant
27.7,79.2,51.4,1029.4,1.4,99.5,Rainy,Evening,Comfortable
11.5,69.8,69.4,918.5,1.6,3.4,Autumn,Afternoon,Cold
29.8,47.8,27.2,938.7,0.1,20.8,Summer,Night,Comfortable
8.0,42.9,64.8,1070.0,1.3,21.3,Winter,Night,Cold
19.3,66.8,119.3,1015.5,4.9,29.2,Spring,Afternoon,Cool
18.1,34.9,115.4,1008.7,1.5,6.8,Autumn,Night,Cool
-5.2,75.2,0.1,925.2,7.9,19.0,Winter,Afternoon,Freezing
20.2,38.4,119.1,1081.8,1.1,33.7,Spring,Evening,Pleasant
23.1,34.9,90.6,881.9,1.7,31.3,Spring,Night,Pleasant
-18.7,46.7,31.6,940.0,1.6,37.5,Winter,Morning,Very Freezing
32.6,51.8,53.7,1000.1,10.2,36.8,Summer,Morning,Warm
31.9,94.8,25.0,1082.6,0.2,89.0,Rainy,Evening,Warm
30.3,95.4,96.7,1047.5,3.1,44.9,Rainy,Afternoon,Warm
17.3,68.2,41.5,1093.9,1.3,32.9,Spring,Evening,Cool
46.6,46.9,58.4,1001.6,12.6,7.0,Summer,Morning,Extreme Heat
23.6,70.1,44.1,867.0,0.1,48.1,Rainy,Evening,Pleasant
17.7,83.1,51.9,928.0,4.5,66.4,Autumn,Morning,Cool
19.0,41.9,74.4,1012.6,0.3,2.5,Autumn,Evening,Cool
24.4,67.0,119.4,864.4,5.9,99.0,Rainy,Afternoon,Pleasant
20.0,69.2,36.4,875.3,5.8,43.7,Rainy,Morning,Pleasant
24.0,74.8,73.8,926.6,1.2,21.1,Autumn,Night,Pleasant
7.7,52.3,78.5,938.6,1.1,19.3,Winter,Evening,Very Cold
25.0,30.6,49.9,970.3,1.1,10.4,Spring,Morning,Comfortable
-15.2,59.4,25.8,853.0,0.5,39.0,Winter,Evening,Very Freezing
13.6,56.8,13.2,987.0,4.2,33.8,Winter,Morning,Cold
16.7,77.6,29.2,1012.9,6.7,24.6,Spring,Afternoon,Cool
20.1,82.6,16.0,875.5,5.6,96.6,Spring,Afternoon,Pleasant
-17.3,45.4,111.6,913.3,1.6,33.0,Winter,Night,Very Freezing
11.3,65.0,73.7,866.7,1.0,6.0,Winter,Night,Cold
16.2,32.6,4.6,1036.6,5.6,32.1,Autumn,Morning,Cool
18.5,82.8,46.5,965.5,2.0,98.2,Rainy,Night,Cool
29.0,77.4,49.5,987.4,1.7,44.1,Rainy,Evening,Comfortable
-17.1,58.3,107.9,1045.6,2.6,39.0,Winter,Afternoon,Very Freezing
-15.8,63.8,93.0,1011.0,1.1,1.7,Winter,Evening,Very Freezing
8.0,46.1,117.6,1000.5,5.1,29.9,Winter,Afternoon,Cold
11.8,48.6,111.4,906.2,3.6,17.3,Autumn,Afternoon,Cold
18.6,81.9,28.9,880.4,2.4,93.2,Autumn,Afternoon,Cool
23.7,47.4,105.5,914.6,1.1,25.4,Spring,Evening,Pleasant
25.9,70.1,93.2,1014.0,2.2,21.8,Spring,Afternoon,Comfortable
31.1,66.5,19.8,882.9,6.1,89.1,Rainy,Morning,Warm
29.8,90.6,65.1,997.6,1.0,57.9,Rainy,Evening,Comfortable
27.6,95.6,76.4,1040.3,0.3,67.7,Rainy,Evening,Comfortable
43.2,49.7,11.9,950.4,1.6,8.2,Summer,Night,Very Hot
5.7,63.9,22.6,938.8,6.5,22.2,Winter,Morning,Very Cold
9.4,75.8,1.3,1037.4,6.3,27.1,Winter,Afternoon,Cold
22.3,95.7,119.6,942.1,0.9,83.3,Rainy,Evening,Pleasant
23.5,79.4,83.5,850.8,5.3,61.3,Rainy,Afternoon,Pleasant
27.3,62.4,57.7,1010.6,5.6,23.2,Summer,Morning,Comfortable
10.7,56.8,71.9,1000.5,0.0,12.9,Autumn,Night,Cold
27.7,91.1,117.8,902.5,6.8,71.2,Rainy,Afternoon,Comfortable
16.6,70.5,28.3,942.9,0.1,32.1,Spring,Night,Cool
31.1,87.5,50.5,1009.0,6.5,47.1,Rainy,Morning,Warm
20.4,82.3,24.4,991.4,2.0,49.9,Autumn,Evening,Pleasant
26.2,85.5,83.7,1082.4,6.5,43.4,Rainy,Morning,Comfortable
21.2,78.2,55.4,970.2,4.0,96.2,Rainy,Afternoon,Pleasant
18.8,32.7,108.5,1077.3,6.5,0.3,Autumn,Afternoon,Cool
30.6,37.2,47.9,1080.7,9.7,0.5,Summer,Afternoon,Warm
14.0,44.4,29.6,1076.6,2.7,10.9,Autumn,Afternoon,Cold
7.2,33.6,58.5,858.4,1.4,36.3,Winter,Morning,Very Cold
38.3,26.4,41.7,1075.0,5.2,26.6,Summer,Morning,Hot
17.8,81.5,6.3,954.7,0.5,83.8,Autumn,Night,Cool
-11.0,66.0,23.8,991.3,4.2,38.9,Winter,Morning,Very Freezing
12.6,31.2,86.4,954.5,1.6,27.4,Autumn,Morning,Cold
49.5,19.1,48.5,985.6,12.9,22.0,Summer,Morning,Extreme Heat
-12.1,76.6,51.4,885.2,5.6,8.6,Winter,Afternoon,Very Freezing
10.2,55.3,89.9,922.6,6.5,4.5,Winter,Afternoon,Cold
31.7,92.8,59.7,934.9,7.1,72.7,Rainy,Afternoon,Warm
20.6,31.0,15.2,1014.9,2.1,10.2,Autumn,Afternoon,Pleasant
22.3,71.3,67.0,988.1,1.7,13.7,Spring,Morning,Pleasant
15.5,73.9,44.6,962.9,3.8,3.7,Autumn,Morning,Cool
17.5,40.3,11.3,939.2,1.5,11.1,Spring,Evening,Cool
29.9,79.3,62.4,961.9,1.1,6.6,Summer,Evening,Comfortable
30.7,74.7,118.0,885.2,2.4,51.1,Rainy,Morning,Warm
23.5,38.4,52.8,1003.8,0.2,35.3,Spring,Night,Pleasant
17.1,83.2,50.1,1096.0,1.3,78.1,Autumn,Evening,Cool
22.3,53.5,19.5,853.2,1.1,21.1,Autumn,Night,Pleasant
47.3,13.2,87.8,896.9,1.7,32.8,Summer,Night,Extreme Heat
4.9,47.3,56.5,1055.4,4.2,14.3,Winter,Afternoon,Very Cold
9.0,48.4,20.9,1028.0,6.8,4.0,Winter,Afternoon,Cold
16.8,49.1,54.0,1037.2,1.3,24.8,Spring,Evening,Cool
45.2,43.7,30.5,857.8,12.4,4.3,Summer,Morning,Extreme Heat
18.1,88.9,20.1,1013.8,2.0,44.4,Rainy,Night,Cool
30.1,72.5,43.2,867.1,1.5,64.5,Rainy,Night,Warm
22.7,42.8,96.9,864.8,7.3,26.0,Autumn,Afternoon,Pleasant
25.8,68.9,53.6,965.1,1.7,72.8,Rainy,Evening,Comfortable
31.7,68.9,50.7,860.5,1.5,95.1,Rainy,Evening,Warm
49.3,43.0,83.9,1059.9,2.0,24.9,Summer,Evening,Extreme Heat
40.7,31.3,76.2,962.5,0.4,4.8,Summer,Evening,Very Hot
13.7,32.5,68.1,921.0,1.6,3.0,Autumn,Night,Cold
43.3,34.0,7.7,1069.3,1.8,13.2,Summer,Evening,Very Hot
29.6,34.3,28.7,1048.6,0.1,23.3,Summer,Night,Comfortable
-1.7,33.5,99.8,999.7,1.8,3.8,Winter,Morning,Freezing
23.7,75.6,105.5,992.9,4.6,17.2,Spring,Morning,Pleasant
16.1,72.6,72.2,1073.1,4.1,24.3,Autumn,Afternoon,Cool
26.3,89.6,28.5,978.1,1.7,63.1,Rainy,Afternoon,Comfortable
23.5,82.3,72.1,1035.9,1.0,78.0,Spring,Evening,Pleasant
34.0,56.0,5.5,885.0,7.8,38.9,Summer,Afternoon,Warm
21.3,40.8,73.3,920.2,2.4,20.7,Spring,Morning,Pleasant
26.2,75.8,101.3,921.2,9.6,17.5,Summer,Afternoon,Comfortable
-18.4,45.3,98.0,921.1,1.6,21.3,Winter,Evening,Very Freezing
26.0,66.0,81.1,861.2,0.9,95.8,Rainy,Evening,Comfortable
20.1,70.1,105.9,1017.7,2.8,27.0,Spring,Morning,Pleasant
43.0,48.2,86.6,1065.7,5.0,28.7,Summer,Morning,Very Hot
46.8,20.3,79.8,1050.1,1.3,3.7,Summer,Evening,Extreme Heat
20.5,33.9,9.6,938.7,1.9,26.7,Autumn,Night,Pleasant
34.0,62.7,1.2,1009.0,14.1,24.5,Summer,Afternoon,Warm
20.1,36.6,108.3,866.6,1.1,5.7,Autumn,Evening,Pleasant
35.6,21.8,58.3,994.3,5.4,4.9,Summer,Morning,Hot
33.6,70.1,78.3,1061.4,1.4,17.2,Summer,Evening,Warm
21.9,75.7,94.7,961.6,6.6,89.3,Rainy,Morning,Pleasant
22.8,53.7,38.3,995.5,0.7,24.0,Autumn,Night,Pleasant
19.6,50.6,20.0,957.6,0.3,35.6,Autumn,Night,Cool
28.9,31.4,77.5,1009.2,0.7,2.9,Summer,Evening,Comfortable
19.4,94.6,63.7,1060.4,5.1,73.6,Rainy,Morning,Cool
12.0,56.7,3.3,976.4,7.7,15.4,Autumn,Morning,Cold
18.4,78.6,19.2,855.8,6.3,67.5,Rainy,Afternoon,Cool
9.2,50.4,45.0,968.5,4.1,39.8,Winter,Morning,Cold
27.2,63.4,18.2,857.7,14.7,30.9,Summer,Morning,Comfortable
21.2,59.3,20.2,911.7,6.9,14.2,Spring,Morning,Pleasant
4.8,39.7,60.9,1019.3,0.5,33.2,Winter,Night,Very Cold
12.3,62.1,120.0,887.6,1.6,8.3,Autumn,Evening,Cold
24.5,46.5,39.1,1048.1,4.2,29.2,Spring,Morning,Pleasant
16.7,59.9,27.3,1091.0,7.4,28.9,Autumn,Morning,Cool
26.3,37.2,94.9,881.2,1.6,11.0,Spring,Evening,Comfortable
13.9,82.2,61.5,873.4,1.5,69.5,Winter,Night,Cold
-10.0,41.2,91.4,946.6,1.0,19.7,Winter,Night,Freezing
10.3,83.9,48.9,1056.9,6.4,74.4,Winter,Morning,Cold
17.6,36.0,102.5,959.8,1.7,35.7,Spring,Evening,Cool
30.4,80.7,61.3,1006.6,1.9,41.1,Rainy,Evening,Warm
24.4,68.1,16.1,924.8,3.5,32.2,Spring,Afternoon,Pleasant
25.4,92.8,118.9,900.2,2.0,45.4,Rainy,Night,Comfortable
22.8,87.2,8.3,851.4,7.6,89.3,Rainy,Morning,Pleasant
47.1,38.0,12.5,949.8,1.4,11.2,Summer,Evening,Extreme Heat
10.3,46.8,65.9,1008.0,5.0,27.9,Autumn,Afternoon,Cold
16.3,77.8,81.8,878.2,6.9,9.7,Spring,Morning,Cool
11.0,52.2,35.4,908.1,3.0,32.1,Autumn,Afternoon,Cold
22.5,81.7,27.1,1010.1,7.9,76.2,Rainy,Afternoon,Pleasant
23.4,36.8,106.6,975.8,0.9,23.4,Spring,Evening,Pleasant
19.6,43.3,85.7,1055.6,1.6,22.1,Autumn,Night,Cool
22.8,69.6,48.2,889.7,7.2,33.0,Autumn,Morning,Pleasant
28.5,76.1,0.0,977.8,1.3,56.6,Rainy,Morning,Comfortable
39.6,28.7,40.8,1085.1,0.2,37.2,Summer,Evening,Hot
28.2,61.1,104.0,993.0,14.1,37.7,Summer,Morning,Comfortable
23.3,97.8,81.0,879.0,1.3,73.9,Rainy,Morning,Pleasant
21.8,67.2,16.7,913.6,1.8,7.3,Autumn,Evening,Pleasant
23.3,68.6,35.8,876.3,1.6,25.8,Autumn,Evening,Pleasant
